=== HOPPER MINECARTS: 274 ===
(274 empty, 0 with items)
  (-1930,70,852)  (empty)
  (-1878,95,863)  (empty)
  (-1872,87,852)  (empty)
  (-1762,146,848)  (empty)
  (-1775,146,848)  (empty)
  (-1948,93,878)  (empty)
  (-1945,87,876)  (empty)
  (-1857,120,874)  (empty)
  (-1835,85,874)  (empty)
  (-1774,106,878)  (empty)
  (-1830,83,880)  (empty)
  (-1824,78,881)  (empty)
  (-1784,126,892)  (empty)
  (-1774,126,892)  (empty)
  (-1977,122,902)  (empty)
  (-1977,122,910)  (empty)
  (-1946,100,904)  (empty)
  (-1879,69,906)  (empty)
  (-1813,116,900)  (empty)
  (-1784,126,902)  (empty)
  (-1764,126,902)  (empty)
  (-1774,126,902)  (empty)
  (-1948,51,923)  (empty)
  (-1946,111,924)  (empty)
  (-1948,114,917)  (empty)
  (-1911,94,920)  (empty)
  (-1904,90,913)  (empty)
  (-1874,81,917)  (empty)
  (-1788,74,920)  (empty)
  (-1784,126,914)  (empty)
  (-1774,126,914)  (empty)
  (-1764,126,914)  (empty)
  (-1776,90,912)  (empty)
  (-1755,100,916)  (empty)
  (-1954,109,935)  (empty)
  (-1953,111,934)  (empty)
  (-1951,111,932)  (empty)
  (-1948,95,940)  (empty)
  (-1948,111,928)  (empty)
  (-1920,95,940)  (empty)
  (-1918,99,941)  (empty)
  (-1871,95,938)  (empty)
  (-1868,95,930)  (empty)
  (-1870,95,931)  (empty)
  (-1778,96,928)  (empty)
  (-1967,80,948)  (empty)
  (-1950,87,950)  (empty)
  (-1922,94,948)  (empty)
  (-1918,99,946)  (empty)
  (-1895,69,950)  (empty)
  (-1852,88,951)  (empty)
  (-1924,60,961)  (empty)
  (-1928,57,960)  (empty)
  (-1837,67,970)  (empty)
  (-1837,67,968)  (empty)
  (-1826,95,960)  (empty)
  (-1824,99,966)  (empty)
  (-1824,99,961)  (empty)
  (-1970,77,990)  (empty)
  (-1906,94,987)  (empty)
  (-1882,80,977)  (empty)
  (-1878,67,990)  (empty)
  (-1762,95,983)  (empty)
  (-1966,58,998)  (empty)
  (-1958,61,992)  (empty)
  (-1968,59,1007)  (empty)
  (-1930,68,996)  (empty)
  (-1930,68,994)  (empty)
  (-1905,65,996)  (empty)
  (-1920,82,1005)  (empty)
  (-1843,90,992)  (empty)
  (-1922,73,1008)  (empty)
  (-1900,57,1012)  (empty)
  (-1814,103,1010)  (empty)
  (-2154,70,-102)  (empty)
  (-2155,70,-98)  (empty)
  (-2155,70,-90)  (empty)
  (-2154,70,-94)  (empty)
  (-2156,64,-87)  (empty)
  (-2178,65,-70)  (empty)
  (-2178,65,-66)  (empty)
  (-2178,65,-72)  (empty)
  (-2196,66,-51)  (empty)
  (-2178,65,-64)  (empty)
  (-2178,65,-56)  (empty)
  (-2178,65,-62)  (empty)
  (-2178,65,-58)  (empty)
  (-2182,60,-51)  (empty)
  (-2178,65,-60)  (empty)
  (-2174,76,-60)  (empty)
  (-2162,27,-53)  (empty)
  (-2162,111,-49)  (empty)
  (-2156,109,-54)  (empty)
  (-2167,54,-19)  (empty)
  (-2167,55,-19)  (empty)
  (-2166,54,-20)  (empty)
  (-2171,53,-25)  (empty)
  (-2158,59,-18)  (empty)
  (-2158,34,-22)  (empty)
  (-2170,67,-5)  (empty)
  (-2162,57,-6)  (empty)
  (-2162,57,-3)  (empty)
  (-2162,62,-1)  (empty)
  (-2158,59,-15)  (empty)
  (-2154,61,-12)  (empty)
  (-2158,59,-3)  (empty)
  (-2154,61,-3)  (empty)
  (-2154,61,-9)  (empty)
  (-2158,59,-12)  (empty)
  (-2158,59,-6)  (empty)
  (-2154,61,-6)  (empty)
  (-2158,59,-9)  (empty)
  (-2196,75,6)  (empty)
  (-2200,75,6)  (empty)
  (-2193,92,8)  (empty)
  (-2194,75,6)  (empty)
  (-2204,94,14)  (empty)
  (-2198,75,7)  (empty)
  (-2198,75,7)  (empty)
  (-2200,94,14)  (empty)
  (-2202,94,14)  (empty)
  (-2198,94,14)  (empty)
  (-2194,94,14)  (empty)
  (-2196,94,14)  (empty)
  (-2206,94,14)  (empty)
  (-2192,75,6)  (empty)
  (-2188,75,6)  (empty)
  (-2186,75,6)  (empty)
  (-2184,75,6)  (empty)
  (-2190,75,6)  (empty)
  (-2192,91,8)  (empty)
  (-2162,57,0)  (empty)
  (-2162,57,3)  (empty)
  (-2154,61,0)  (empty)
  (-2154,61,3)  (empty)
  (-2158,59,3)  (empty)
  (-2158,59,0)  (empty)
  (-2181,33,27)  (empty)
  (-2184,70,19)  (empty)
  (-2184,69,19)  (empty)
  (-2178,53,67)  (empty)
  (-2172,71,73)  (empty)
  (-2169,71,74)  (empty)
  (4,153,606)  (empty)
  (9,111,646)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (14,-16,673)  (empty)
  (34,19,676)  (empty)
  (132,20,682)  (empty)
  (22,8,688)  (empty)
  (118,15,714)  (empty)
  (22,19,722)  (empty)

=== NAME-TAGGED (custom-named) ENTITIES: 223 ===
-- grouped by type + name --
    24x  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''
    20x  sheep                  'jeb_'
    14x  horse                  'CHAIR'
     9x  villager               ''\x08À\x80\x04textÀ\x80À\x80''
     7x  armor_stand            'BigRin'
     7x  villager               'Farmer'
     6x  armor_stand            'Master'
     6x  armor_stand            'u2_1'
     6x  armor_stand            'u2_2'
     6x  armor_stand            'u2_3'
     6x  armor_stand            'u2_4'
     5x  armor_stand            'RSfeue'
     5x  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''
     4x  armor_stand            'Llama'
     4x  armor_stand            'feuer'
     4x  villager               'Hungry'
     2x  armor_stand            ''\x08À\x80\x04textÀ\x80\x14R''
     2x  armor_stand            ''\x08À\x80\x04textÀ\x80\x16P''
     2x  armor_stand            'ACV_Cu'
     2x  armor_stand            'RFPboo'
     2x  armor_stand            'RFPpap'
     2x  armor_stand            'batman'
     2x  horse                  ''\x08À\x80\x04textÀ\x80À\x80''
     2x  villager               'Master'
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\r5''
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\x08C''
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\x0bN''
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\x15F''
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\x15R''
     1x  armor_stand            ''\x08À\x80\x04textÀ\x80\x17I''
     1x  armor_stand            '(Hello'
     1x  armor_stand            'ATM10'
     1x  armor_stand            'ATM10E'
     1x  armor_stand            'ATM11'
     1x  armor_stand            'ATM11E'
     1x  armor_stand            'ATM19'
     1x  armor_stand            'ATM19E'
     1x  armor_stand            'ATM1EX'
     1x  armor_stand            'ATM2'
     1x  armor_stand            'ATM2EX'
     1x  armor_stand            'ATM5'
     1x  armor_stand            'ATM5EX'
     1x  armor_stand            'ATM6'
     1x  armor_stand            'ATM6EX'
     1x  armor_stand            'ATM8'
     1x  armor_stand            'ATM9'
     1x  armor_stand            'ATM9EX'
     1x  armor_stand            'Catdea'
     1x  armor_stand            'Finlan'
     1x  armor_stand            'I own'
     1x  armor_stand            'Ij'
     1x  armor_stand            'Jowes'
     1x  armor_stand            'Kineti'
     1x  armor_stand            'Lama 1'
     1x  armor_stand            'Lama 2'
     1x  armor_stand            'Lama 3'
     1x  armor_stand            'Lama 4'
     1x  armor_stand            'Lord_A'
     1x  armor_stand            'Luftba'
     1x  armor_stand            'Potent'
     1x  armor_stand            'R2'
     1x  armor_stand            'RFPfed'
     1x  armor_stand            'RSpopc'
     1x  armor_stand            'Sal'
     1x  armor_stand            'Suite'
     1x  armor_stand            'U1s'
     1x  armor_stand            'VENDSE'
     1x  armor_stand            'Walter'
     1x  armor_stand            'Zimmer'
     1x  armor_stand            'boxuse'
     1x  armor_stand            'brul'
     1x  armor_stand            'drau'
     1x  armor_stand            'eleflo'
     1x  armor_stand            'elevat'
     1x  armor_stand            'fliege'
     1x  armor_stand            'groot'
     1x  armor_stand            'kiste'
     1x  armor_stand            'kiste2'
     1x  armor_stand            'kiste3'
     1x  armor_stand            'nig'
     1x  armor_stand            'o_fede'
     1x  armor_stand            'pfeife'
     1x  armor_stand            'schama'
     1x  armor_stand            'schauf'
     1x  armor_stand            'stroh'
     1x  armor_stand            'stroh2'
     1x  armor_stand            'tastat'
     1x  armor_stand            'wes'
     1x  horse                  '$L'
     1x  horse                  'Master'
     1x  horse                  'Room3_'
     1x  sheep                  ''\x08À\x80\x04textÀ\x80À\x80''
     1x  sheep                  'Dinner'
     1x  villager               ''\x08À\x80\x04textÀ\x80\x10J''
     1x  villager               ''\x08À\x80\x04textÀ\x80\x1aF''
     1x  villager               ''\x08À\x80\x04textÀ\x80\x1cF''
     1x  villager               'Fred T'
     1x  villager               'waterp'

-- individual locations --
  armor_stand            ''\x08À\x80\x04textÀ\x80\x08C''  (-10,67,46)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-280,227,128)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-248,228,136)
  armor_stand            '(Hello'  (-263,226,156)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-269,226,162)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-274,226,224)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-234,76,326)
  villager               ''\x08À\x80\x04textÀ\x80\x1aF''  (-228,49,382)
  armor_stand            'VENDSE'  (-238,56,382)
  armor_stand            'Master'  (-262,71,397)
  armor_stand            'Master'  (-262,71,399)
  armor_stand            'U1s'  (-269,49,387)
  armor_stand            'u2_4'  (-256,60,398)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x17I''  (-242,68,390)
  armor_stand            ''\x08À\x80\x04textÀ\x80\r5''  (-241,68,390)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x0bN''  (-240,69,390)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x16P''  (-240,69,390)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x16P''  (-240,67,389)
  armor_stand            'u2_2'  (-256,60,402)
  armor_stand            'u2_3'  (-256,60,400)
  armor_stand            'u2_1'  (-256,60,404)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-326,63,418)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-329,63,419)
  armor_stand            'Sal'  (-322,63,418)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-324,67,422)
  armor_stand            'Walter'  (-328,65,420)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-326,65,421)
  armor_stand            'Ij'  (-326,67,422)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-324,65,421)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-324,63,418)
  horse                  'Room3_'  (-251,73,428)
  armor_stand            'eleflo'  (-504,6,432)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-511,49,441)
  armor_stand            'elevat'  (-504,6,432)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-503,49,444)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-496,49,442)
  sheep                  ''\x08À\x80\x04textÀ\x80À\x80''  (-288,79,439)
  armor_stand            'BigRin'  (-230,244,438)
  armor_stand            'ATM2'  (-173,95,447)
  horse                  'CHAIR'  (-171,203,442)
  horse                  'CHAIR'  (-162,178,446)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-497,49,452)
  villager               'Farmer'  (-326,14,461)
  villager               'Farmer'  (-326,14,456)
  armor_stand            'BigRin'  (-284,238,456)
  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''  (-226,52,462)
  armor_stand            'BigRin'  (-240,228,456)
  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''  (-225,62,451)
  armor_stand            'BigRin'  (-206,210,458)
  armor_stand            'u2_2'  (-184,82,462)
  horse                  ''\x08À\x80\x04textÀ\x80À\x80''  (-179,184,460)
  armor_stand            'u2_4'  (-192,82,460)
  armor_stand            'u2_3'  (-192,82,462)
  horse                  'CHAIR'  (-178,172,452)
  horse                  'CHAIR'  (-178,170,450)
  armor_stand            'u2_1'  (-184,82,460)
  armor_stand            'ATM2EX'  (-172,95,451)
  villager               'Farmer'  (-424,78,477)
  villager               'Farmer'  (-423,78,476)
  villager               'Farmer'  (-424,77,476)
  villager               'Farmer'  (-323,15,465)
  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''  (-228,74,473)
  armor_stand            'BigRin'  (-228,246,470)
  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''  (-214,58,464)
  axolotl                ''\x08À\x80\x04textÀ\x80À\x80''  (-208,77,469)
  armor_stand            'u2_4'  (-190,44,478)
  armor_stand            'u2_1'  (-182,44,478)
  armor_stand            'u2_1'  (-192,82,466)
  horse                  'CHAIR'  (-184,184,464)
  armor_stand            'u2_3'  (-184,82,464)
  armor_stand            'u2_4'  (-184,82,466)
  armor_stand            'u2_2'  (-192,82,464)
  horse                  'CHAIR'  (-175,158,471)
  villager               'Master'  (-169,113,467)
  horse                  'CHAIR'  (-165,196,472)
  horse                  'CHAIR'  (-161,196,474)
  villager               'Master'  (-169,113,474)
  horse                  'CHAIR'  (-159,196,470)
  horse                  'CHAIR'  (-159,196,472)
  armor_stand            'BigRin'  (-238,210,492)
  armor_stand            'u2_2'  (-182,44,480)
  armor_stand            'u2_3'  (-190,44,480)
  armor_stand            'u2_3'  (-182,44,482)
  armor_stand            'u2_1'  (-190,44,484)
  armor_stand            'u2_4'  (-182,44,484)
  armor_stand            'u2_2'  (-190,44,482)
  horse                  'CHAIR'  (-107,68,494)
  horse                  'CHAIR'  (-104,63,483)
  horse                  'CHAIR'  (-98,54,490)
  villager               ''\x08À\x80\x04textÀ\x80\x10J''  (-290,97,502)
  armor_stand            'BigRin'  (-230,246,508)
  horse                  ''\x08À\x80\x04textÀ\x80À\x80''  (-189,35,523)
  armor_stand            'boxuse'  (-145,92,514)
  armor_stand            'u2_1'  (-150,92,538)
  armor_stand            'u2_3'  (-146,92,538)
  armor_stand            'u2_2'  (-148,92,538)
  armor_stand            'u2_4'  (-144,92,538)
  armor_stand            'ATM1EX'  (-121,80,535)
  armor_stand            'Master'  (-114,80,529)
  villager               'Hungry'  (-347,119,569)
  villager               'Hungry'  (-347,114,569)
  villager               'Hungry'  (-347,124,569)
  villager               'Hungry'  (-347,109,569)
  armor_stand            'Master'  (-253,35,569)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x15F''  (-252,35,570)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-3,58,569)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-16,58,568)
  villager               'Farmer'  (-246,94,581)
  armor_stand            'Master'  (-216,80,586)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x15R''  (-6,204,584)
  armor_stand            'ATM19'  (-2,245,598)
  armor_stand            'ATM19E'  (-6,245,598)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-15,96,594)
  horse                  'CHAIR'  (-5,56,629)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-30,96,654)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-30,96,646)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-32,96,646)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-3,102,645)
  villager               ''\x08À\x80\x04textÀ\x80\x1cF''  (-21,83,667)
  armor_stand            'I own'  (-20,313,668)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-22,70,666)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-14,184,664)
  armor_stand            'Kineti'  (-14,160,667)
  armor_stand            'Potent'  (-14,160,668)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-26,96,686)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-6,174,682)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-16,174,684)
  armor_stand            'Master'  (-520,69,-110)
  armor_stand            'ATM10'  (-523,69,-108)
  armor_stand            'ATM10E'  (-527,69,-109)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-516,49,442)
  villager               ''\x08À\x80\x04textÀ\x80À\x80''  (-513,49,453)
  armor_stand            'Llama'  (-1210,52,230)
  armor_stand            'Llama'  (-1210,52,226)
  armor_stand            'Llama'  (-1210,52,228)
  armor_stand            'Llama'  (-1210,53,224)
  armor_stand            'ATM5'  (-1496,97,752)
  armor_stand            'ATM5EX'  (-1495,97,754)
  villager               'waterp'  (-1434,117,806)
  sheep                  'Dinner'  (-1942,99,842)
  armor_stand            'Catdea'  (-1807,170,843)
  armor_stand            'tastat'  (-1769,170,836)
  armor_stand            'Finlan'  (-1968,124,858)
  armor_stand            'stroh'  (-1939,95,861)
  armor_stand            'stroh2'  (-1939,95,862)
  armor_stand            'feuer'  (-1857,63,859)
  armor_stand            'feuer'  (-1857,63,859)
  armor_stand            'feuer'  (-1857,63,859)
  armor_stand            'feuer'  (-1857,63,859)
  armor_stand            'kiste'  (-1841,94,852)
  armor_stand            'kiste2'  (-1842,95,851)
  armor_stand            'kiste3'  (-1841,95,852)
  armor_stand            'nig'  (-1774,96,854)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (-1988,61,866)
  villager               'Fred T'  (-1934,97,878)
  armor_stand            'RSfeue'  (-1819,87,865)
  armor_stand            'RSfeue'  (-1817,87,866)
  armor_stand            'RSfeue'  (-1818,87,865)
  armor_stand            'RSfeue'  (-1817,87,865)
  armor_stand            'RSpopc'  (-1816,95,864)
  armor_stand            'RSfeue'  (-1817,87,867)
  armor_stand            'R2'  (-1758,109,873)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x14R''  (-1948,116,880)
  armor_stand            'Zimmer'  (-1948,116,890)
  armor_stand            ''\x08À\x80\x04textÀ\x80\x14R''  (-1976,116,911)
  sheep                  'jeb_'  (-1914,713050,924)
  armor_stand            'groot'  (-1906,97,917)
  armor_stand            'ATM9'  (-1903,91,924)
  armor_stand            'ATM9EX'  (-1898,91,923)
  sheep                  'jeb_'  (-2042,1071639,935)
  armor_stand            'RFPboo'  (-1966,116,949)
  armor_stand            'RFPpap'  (-1967,116,949)
  armor_stand            'RFPpap'  (-1967,116,949)
  armor_stand            'RFPfed'  (-1967,116,949)
  armor_stand            'RFPboo'  (-1966,116,949)
  sheep                  'jeb_'  (-1783,532627,953)
  sheep                  'jeb_'  (-1775,343213,947)
  sheep                  'jeb_'  (-1843,66325,968)
  armor_stand            'fliege'  (-1852,97,969)
  sheep                  'jeb_'  (-1839,227177,962)
  sheep                  'jeb_'  (-1797,104,964)
  sheep                  'jeb_'  (-1771,33823,974)
  horse                  'Master'  (-1874,96,976)
  horse                  '$L'  (-1876,96,976)
  armor_stand            'brul'  (-1865,97,982)
  armor_stand            'Jowes'  (-1866,97,979)
  armor_stand            'drau'  (-1865,97,976)
  armor_stand            'wes'  (-1863,97,979)
  armor_stand            'schauf'  (-1868,96,976)
  armor_stand            'batman'  (-1842,105,983)
  armor_stand            'batman'  (-1842,105,983)
  armor_stand            'Lama 3'  (-1832,98,983)
  armor_stand            'Lama 4'  (-1832,98,986)
  armor_stand            'Lama 1'  (-1832,98,980)
  armor_stand            'Lama 2'  (-1832,96,982)
  sheep                  'jeb_'  (-1793,40947,978)
  sheep                  'jeb_'  (-1786,598773,976)
  sheep                  'jeb_'  (-1785,447011,982)
  armor_stand            'Luftba'  (-1780,96,978)
  sheep                  'jeb_'  (-1782,100,976)
  sheep                  'jeb_'  (-1787,314951,987)
  sheep                  'jeb_'  (-1788,429360,986)
  sheep                  'jeb_'  (-1789,159912,985)
  sheep                  'jeb_'  (-1786,312980,980)
  sheep                  'jeb_'  (-1796,436573,1001)
  sheep                  'jeb_'  (-1797,420400,995)
  armor_stand            'Lord_A'  (-1792,70,996)
  sheep                  'jeb_'  (-1791,175276,993)
  sheep                  'jeb_'  (-1781,444529,992)
  armor_stand            'o_fede'  (-1761,97,1002)
  armor_stand            'schama'  (-1761,96,1002)
  armor_stand            'pfeife'  (-1761,96,1003)
  armor_stand            'ATM8'  (-2177,65,-49)
  armor_stand            'Suite'  (-2176,65,-44)
  armor_stand            'ATM6EX'  (-2155,65,-11)
  armor_stand            'ATM6'  (-2155,65,-14)
  armor_stand            'ATM11E'  (-2078,64,52)
  armor_stand            'ATM11'  (-2076,64,52)
  armor_stand            'ACV_Cu'  (18,2,22)
  armor_stand            'ACV_Cu'  (22,2,22)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (5,96,650)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (5,96,646)
  armor_stand            ''\x08À\x80\x04textÀ\x80À\x80''  (6,96,686)

total entities scanned: 15862
